algo,machines,MAE_mean,MAE_std,MAPE_mean,MAPE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std
lstm,4,1.8916763970599098,0.07847492390607225,10.318832745967287,0.427838671651437,2.5821953474871817,0.1140221169307824,10.172757120271863,0.40423971184378843
gru,4,1.8881678369158843,0.07428883182621028,10.259606100679393,0.44849910558848843,2.5838032363899113,0.11077599698805297,10.153499689446432,0.3951330935981637
xgb,4,2.1467179230231466,0.10190529644371804,11.708278103436115,0.44581534324133304,2.8737340060691845,0.10645119377649184,11.511106301174195,0.4437327083111672
